algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
Optimal_QLRU,0.018,0.9999197014886249,0.513431123933064,irm,2,10,10000,24,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0031,0.9947901543763868,4.139166375190382,irm,2,10,10000,24,0.0,index,10,uniform
qlearning_balancer[lru],0.012,0.99554395357866,3.8275471856326058,irm,2,10,10000,24,0.0,index,10,uniform
qlearning_balancer[oracle],0.011,0.9950303352910032,4.042467625376723,irm,2,10,10000,24,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.994790203632208,4.139146774423869,irm,2,10,10000,24,0.0,index,10,uniform
Optimal_QLRU,0.0103,0.99972882460444,0.9435553986937927,irm,2,10,10000,23,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0085,0.9950829854885876,4.020961605284628,irm,2,10,10000,23,0.0,index,10,uniform
qlearning_balancer[lru],0.0113,0.9942828093317484,4.336393300626975,irm,2,10,10000,23,0.0,index,10,uniform
qlearning_balancer[oracle],0.0094,0.9958850886718142,3.6779106174833025,irm,2,10,10000,23,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9940856042136856,4.4106932394382055,irm,2,10,10000,23,0.0,index,10,uniform
Optimal_QLRU,0.0348,0.9999560350860621,0.379908428215996,irm,2,10,10000,25,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0108,0.9918462905778769,5.180744864088354,irm,2,10,10000,25,0.0,index,10,uniform
qlearning_balancer[lru],0.0116,0.9917738404219582,5.203774047970714,irm,2,10,10000,25,0.0,index,10,uniform
qlearning_balancer[oracle],0.0125,0.9918541319529316,5.178246310574699,irm,2,10,10000,25,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9912217464991241,5.376060381221891,irm,2,10,10000,25,0.0,index,10,uniform
Optimal_QLRU,0.0272,0.9997748039465302,0.8598433199919248,irm,2,10,10000,26,0.0,index,10,uniform
qlearning_balancer[qlearn],0.003,0.9998296934316823,0.7477400787273942,irm,2,10,10000,26,0.0,index,10,uniform
qlearning_balancer[lru],0.0099,0.9998334797306858,0.7393809188668161,irm,2,10,10000,26,0.0,index,10,uniform
qlearning_balancer[oracle],0.0096,0.9995493814457985,1.2163534451825797,irm,2,10,10000,26,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9998296934320544,0.7477400779104524,irm,2,10,10000,26,0.0,index,10,uniform
Optimal_QLRU,0.0251,0.9995750993427854,1.1811283504846775,irm,2,10,10000,29,0.0,index,10,uniform
