q_f,delta_jfi
0.0,-0.0007515057699101213
0.0,-0.0007163903103420965
0.0,-0.0006818436563018615
0.0,-0.0006478617553169475
0.0,-0.000614440398516547
0.12080675841844324,0.0005597850562235607
0.0,-0.000605530087323336
0.11930787187294623,0.0005523790061343625
0.1225110597676794,0.00056822142367563
0.0,-0.0006201702481060112
0.0,-0.0005882784652379014
0.0,-0.0005569091541941518
0.0,-0.0005260581083491589
0.10708734363373429,0.0004924630961286036
0.0,-0.0005186482642401957
0.0,-0.0004887664974173589
0.1011497700898033,0.0004636471943788578
0.10448253873528701,0.00047979808161624504
0.0,-0.0005042888620822028
0.10321467178294508,0.00047364681525430274
0.0,-0.0004973309118649905
0.0,-0.00046875605792218167
0.0,-0.0004406509366624567
0.0,-0.0004130114209522917
0.08853077089575556,0.000403032365036915
0.0,-0.0004074187584175437
0.0,-0.00038062989947773573
0.0,-0.00035428915090995883
0.07854890106365431,0.000355676391688875
0.0,-0.0003495623065188358
0.0,-0.00032402900443595506
0.0,-0.00029892668794262445
0.06875959493520445,0.0003097296201198807
0.07230393209509622,0.000326309186406748
0.07575487518073398,0.0003425128518338427
0.0,-0.00033593464861902955
0.07485602281254944,0.00033828653290701727
0.0,-0.00033156845415083236
0.0,-0.0003074160524595415
0.06975593823837778,0.00031438389244498044
0.0,-0.0003034621092055101
0.0,-0.0002800288371097581
0.0,-0.00025698306494148504
0.060582825685708164,0.0002717201014771353
0.06400345839148558,0.0002875804233655188
0.0,-0.00027296763104689425
0.06325826610075591,0.0002841202851339153
0.06655987099763316,0.000299471539572882
0.06977909768564872,0.0003144921376965204
0.0,-0.00030707058112999785
0.06898256020104432,0.00031077073717744597
0.07209131652091383,0.00032531283678727263
0.0,-0.00032155568900282816
0.0,-0.0002995044844693595
0.0,-0.0002777999297518541
0.0,-0.0002564388363417436
0.0,-0.00023541798225468202
0.0,-0.00021473411491612637
0.0,-0.00019438395395354746
0.04813157374929544,0.00021447157157472585
0.05140805004423188,0.00022946326874551115
0.05460800317659187,0.00024415489585016825
0.05773305516072391,0.00025855071137892427
0.0,-0.0002442718491302287
0.0,-0.00022429105680243921
0.0,-0.00020462392594000622
0.0,-0.00018526745787039722
0.0,-0.0001662186321700343
0.042311578755363954,0.00018796866390080602
0.045498598999949236,0.00020246160014425474
0.04861393213809617,0.00021667538660574692
0.0,-0.0001975021911192476
0.048082220131535625,0.00021424614610821013
0.0,-0.00019521066796301945
0.047559097050052124,0.00021185746979623943
0.0,-0.00019295875952018982
0.0,-0.00017474564358865852
0.0,-0.0001568145638064511
0.04004279999323035,0.00017768077756696865
0.0,-0.0001550296499567283
0.0,-0.00013758491992199584
0.0,-0.00012041210716329243
0.0,-0.00010350852158613755
0.0,-8.687146238428589e-05
0.0,-7.049821963911462e-05
0.0,-5.438607586127908e-05
0.0,-3.85323074807431e-05
0.0,-2.293418628396271e-05
0.011990368905274496,5.244710091389937e-05
0.015263218269823575,6.687347909273278e-05
0.0,-3.7690665392275946e-05
0.0,-2.2435203441362184e-05
0.01173360935819745,5.1317354005209204e-05
0.014938264885751229,6.543897622246497e-05
0.018079111777365653,7.932406854072038e-05
0.02115730694940221,9.297535051311367e-05
0.024173986370501166,0.00010639553558244863
0.02713026540201824,0.00011958733011041556
0.0,-9.47625455900436e-05
0.026848784989594088,0.00011832955548174429
0.0,-9.374778963622266e-05
0.0,-7.870967303347243e-05
0.023428854516512665,0.0001030768420930972
0.0,-7.787444015905365e-05
0.0,-6.322368052336103e-05
0.0,-4.8794767860127486e-05
0.01697772717669399,7.445000470518437e-05
0.019875509227975985,8.728558254478269e-05
0.0,-6.190438090669659e-05
0.01967319972183601,8.638823145468155e-05
0.022487548471972985,9.88880394245939e-05
0.025247946077580852,0.00011118323475767244
0.0,-8.798792927233734e-05
0.024995040825499748,0.00011005531158436721
0.027676837158551182,0.00012203068573557463
0.030307332939017995,0.0001338091120433038
0.0,-0.00011322355170495513
0.030008527825175157,0.00013246956128565301
0.0,-0.00011206446200473508
0.0,-9.815196468332399e-05
0.026865770584765802,0.0001184054440560578
0.0,-9.71557998148409e-05
0.0,-8.35839754622647e-05
0.0,-7.020581604033627e-05
0.0,-5.701953261894044e-05
0.0,-4.4023332260390013e-05
0.015352942026224503,6.726964695102922e-05
0.0,-4.3585071382135077e-05
0.0,-3.090577678654949e-05
0.0,-1.84102061947522e-05
0.0,-6.096594442395187e-06
0.006890604059326955,3.0062843019429408e-05
0.0,-6.036824630295534e-06
0.0013739790067370805,5.977929484313194e-06
0.004089493921489273,1.7816864214870165e-05
0.006757855906832311,2.9481711362078222e-05
0.0,-5.919892021144513e-06
0.006692914120107307,2.9197443959794178e-05
0.009290108904830063,4.0580570030979146e-05
0.0,-1.7530898622108992e-05
0.0,-5.806324248402994e-06
0.0013218009050908197,5.750761975953367e-06
0.003934889378957918,1.7141962716182846e-05
0.006503601921611923,2.83688803657256e-05
0.009028611882647919,3.943311650933534e-05
0.0,-1.7033219195772276e-05
0.0,-5.642003588324229e-06
0.0012845930819038731,5.588777734266692e-06
0.003824614251130787,1.6660638218590762e-05
0.006322201195417709,2.757509106132705e-05
0.0,-5.536301529107668e-06
0.0012606537286430353,5.484560960944407e-06
0.0037536513741480704,1.6350930446829004e-05
0.0012489341707631052,5.4335423436135954e-06
0.0037189078133754716,1.6199304971764583e-05
0.006148277631402133,2.681415704486323e-05
0.008537637040136437,3.727952800147705e-05
0.010887571267488072,4.7596846159403405e-05
0.013198657437871852,5.776753829067616e-05
0.0,-3.7378149942868255e-05
0.0,-2.6518606531689137e-05
0.010691086873499622,4.6733248543873174e-05
0.012961577970762472,5.672309657334118e-05
0.0,-3.669668916705948e-05
0.012845420975813204,5.621146431333823e-05
0.0,-3.636292578490519e-05
0.012730814872520368,5.570672220556183e-05
0.014925585626411553,6.538301337488672e-05
0.017084693934216855,7.492313555557129e-05
