algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.1671,0.9570246888390688,11.964457612832796,irm,10,10,10000,14,0.0,uniform
qlearning_balancer[qlearn],0.0876,0.8660536462388446,21.468326026283854,irm,10,10,10000,14,0.0,uniform
qlearning_balancer[lru],0.0837,0.8794238018816455,20.318644880213117,irm,10,10,10000,14,0.0,uniform
qlearning_balancer[oracle],0.1343,0.8938768719959246,19.011955949248996,irm,10,10,10000,14,0.0,uniform
qlearning_balancer[nocache],0.0,0.8628961338943325,21.732602435054872,irm,10,10,10000,14,0.0,uniform
Optimal_QLRU,0.1669,0.9671093647562028,10.448855175166276,irm,10,10,10000,10,0.0,uniform
qlearning_balancer[qlearn],0.0881,0.8484192116484788,22.913051289177737,irm,10,10,10000,10,0.0,uniform
qlearning_balancer[lru],0.0803,0.8425649043880026,23.37709163590721,irm,10,10,10000,10,0.0,uniform
qlearning_balancer[oracle],0.1381,0.9175982868331111,16.68184383150034,irm,10,10,10000,10,0.0,uniform
qlearning_balancer[nocache],0.0,0.8357598036368966,23.907771284975617,irm,10,10,10000,10,0.0,uniform
Optimal_QLRU,0.1665,0.9485421768257009,13.111286819778975,irm,10,10,10000,17,0.0,uniform
qlearning_balancer[qlearn],0.0738,0.8026359795627648,26.375792806241748,irm,10,10,10000,17,0.0,uniform
qlearning_balancer[lru],0.0799,0.8362162243958127,23.8724594487318,irm,10,10,10000,17,0.0,uniform
qlearning_balancer[oracle],0.139,0.82695519121655,24.581459535377785,irm,10,10,10000,17,0.0,uniform
qlearning_balancer[nocache],0.0,0.8009071145954297,26.5000284802063,irm,10,10,10000,17,0.0,uniform
Optimal_QLRU,0.1649,0.9806995305553841,7.985710760891919,irm,10,10,10000,11,0.0,uniform
qlearning_balancer[qlearn],0.1243,0.9269212569489736,15.683952499242713,irm,10,10,10000,11,0.0,uniform
qlearning_balancer[lru],0.0824,0.9084671615512357,17.61046259001929,irm,10,10,10000,11,0.0,uniform
qlearning_balancer[oracle],0.1288,0.941240621118507,14.028430916826752,irm,10,10,10000,11,0.0,uniform
qlearning_balancer[nocache],0.0,0.9190895669091271,16.52583139405509,irm,10,10,10000,11,0.0,uniform
Optimal_QLRU,0.1849,0.9868925558527543,6.574079954854663,irm,10,10,10000,16,0.0,uniform
qlearning_balancer[qlearn],0.0417,0.841383386515962,23.46988569465354,irm,10,10,10000,16,0.0,uniform
qlearning_balancer[lru],0.0772,0.8411512173480411,23.488086768189696,irm,10,10,10000,16,0.0,uniform
qlearning_balancer[oracle],0.1225,0.8432587796403271,23.322464117142538,irm,10,10,10000,16,0.0,uniform
qlearning_balancer[nocache],0.0,0.8216236068060664,24.982807786866232,irm,10,10,10000,16,0.0,uniform
Optimal_QLRU,0.173,0.9712825555449518,9.756552949309283,irm,10,10,10000,21,0.0,uniform
qlearning_balancer[qlearn],0.0532,0.7581740122116276,29.456199274664353,irm,10,10,10000,21,0.0,uniform
qlearning_balancer[lru],0.0824,0.8347217702821397,23.98793424274043,irm,10,10,10000,21,0.0,uniform
qlearning_balancer[oracle],0.1167,0.8727169868021042,20.901806237616867,irm,10,10,10000,21,0.0,uniform
qlearning_balancer[nocache],0.0,0.75886908158856,29.4096730580734,irm,10,10,10000,21,0.0,uniform
Optimal_QLRU,0.181,0.9692047204227989,10.106932148390214,irm,10,10,10000,15,0.0,uniform
